源声编码,源声描述,源声来源,观点编号,观点类别
201701bbs0000007,刚入手x9，说下我几点不满意的地方 各位V友你们好，刚入手x9两天，说下几点我不满意的地方\t1 每次重启手机第一次解锁不能用指纹解锁，必须用密码解锁第一次后才可以用指纹，我只想说呵呵\t2 照相闪光灯不能一直常亮开启，呵呵\t3 锁频黑屏后微信来信息屏幕不会亮屏，呵呵\t4 不能双击唤醒屏幕，呵呵\t5 手机i管家不能设置每月流量套餐，呵呵\t6 微信没有红包助手，呵呵\t7 指纹支付支付宝是不支持的，呵呵\t8 有个设置快捷启动连按两次主屏键启动照相机怎么我启动不了的。\t最后一个就是电池，远远没有像天猫旗舰店里那些买手机评论的那么耐用，一天一充肯定不够的（没玩游戏的情况下）\t希望下次系统升级能优化上面几个，哎，失望啊,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000031,vivox9刚买出问题了 我只能呵呵 同时也想知道怎么回事。\t直接卡在一个应用上面，返回键什么键都是卵的，只有清除后台运行，已经这样好多次了。返回键也经常失灵，不管什么应用，按返回键反正就是没！用！\t最想不通的就是卡屏,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0000057,前天官网买的x9 女朋友喜欢x9.就偷偷官网买了一个准备给她惊喜。,百度贴吧,VPAD0275E001,喜爱/好用
201701bbs0000074,x7连接WIFI的网络状态越来越差了 如题，我离我家无限路由器只有2米远，进个贴吧看个评论就能卡成白屏，WIFI网络满格信号就是不传输流量，8月份买的，开始时感觉电量不抗用，用了四个月也就习惯了，但是每次更新系统基本上很不满意，总感觉体验很不舒服，总感觉有点卡。64g储存空间我剩余40g，运行内存什么的都能保证一半左右，为何WIFI信号不能稳定传输，50兆光纤，家里只有我一个也依旧卡。,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000080,我想问下入手的各位，处理器够用吗 我是看到外观后挺想入手，但发现cpu从652倒退625，精力全部放在相机上，有些犹豫。可用运行内存有多少,百度贴吧,VPAD0459E001,外观好看
201701bbs0000083,x9的处理器怎么没有x7的好 x9\t续航能力太差，后悔买了,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000090,刚入手vivox9p，求大佬分析渣在哪里 网上很多人都说vivo高价低配置，同价位华为，小米好很多。不过我觉着vivo没那么渣，就流畅度我觉着非常棒，而且关键是不烫手,百度贴吧,VPAD0001E001,性能整体感受好
201701bbs0000096,X9？呵呵了 十月一入手的x7，一个上午就没电了，x9刚出来入手的x9，电量是可以了，卡是小事，死机是什么鬼？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000170,新如vivox9感觉还是没有苹果好用啊 卖了ip6加钱买了个x9，还是感觉进入一些软件的流畅度不够，微博图片打开不流畅其他还好，安卓还是优化不够！继续加油，苹果电池太差不想用了,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000180,vivox9 2450入手vivox9，快充+续航杠杠的，游戏都不是事了，本来3000大洋买x9p的，觉得屏幕太大不习惯,百度贴吧,VPAD0165E001,充电快
201701bbs0000234,vivox6a 感觉用了手机天涯贴吧，电量掉的太快了，这是咋回事？亲们有同样的情况吗？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000243,x9i买来九天 卡了两次 一次QQ一次微博 看微博视频有一天边在闪 什么情况 然后卡住了 怎么弄都没有反应,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0000250,请教一下。。。刚买的x 强度也不大，感觉电池好不耐用呀。这种现象正常吗？,百度贴吧,VPAD0101E002,待机或使用时间短
